RBD,ESTABLECIMIENTO,COMUNA,DC_TOT,MAT_TOTAL,RAZON_DOC_EST
78,LICEO GRANADEROS,15201,28,235,0.11914893617021277
79,ESCUELA EL MARQUEZ,15201,3,8,0.375
81,ESCUELA PAYACHATAS,15201,2,3,0.6666666666666666
82,ESCUELA SAN FRANCISCO DE ASIS,15201,2,1,2.0
83,ESCUELA COTA COTANI,15201,2,3,0.6666666666666666
84,ESCUELA LOS ALAMOS,15201,2,2,1.0
86,ESCUELA SAN SANTIAGO DE BELEN,15201,2,8,0.25
87,ESCUELA ANCOLACANE,15202,2,3,0.6666666666666666
88,ESCUELA ALCERRECA,15202,2,2,1.0
89,ESCUELA HUMAPALCA,15202,3,1,3.0
90,ESCUELA INTERNADO VISVIRI,15202,7,32,0.21875
91,ESCUELA COSAPILLA,15202,2,2,1.0
92,ESCUELA CHISLLUMA,15202,3,5,0.6
93,ESCUELA CHUJLLUTA,15202,3,7,0.42857142857142855
94,ESCUELA GUACOYO,15202,3,6,0.5
95,ESCUELA COLPITAS,15202,2,1,2.0
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,1101,38,346,0.10982658959537572
102,ESC.EDUC.ESPECIAL FLOR DEL INCA,1101,19,87,0.21839080459770116
103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,1101,50,474,0.10548523206751055
105,CENTRO DE CAPACITACION LABORAL,1101,14,58,0.2413793103448276
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,1101,27,499,0.05410821643286573
107,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,1101,43,373,0.11528150134048257
108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,1101,52,536,0.09701492537313433
109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,1101,65,712,0.09129213483146068
110,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,1101,59,965,0.061139896373056994
111,ESCUELA GABRIELA MISTRAL,1101,38,672,0.05654761904761905
112,ESCUELA EDUARDO LLANOS,1101,42,671,0.06259314456035768
113,ESCUELA ALMIRANTE PATRICIO LYNCH,1101,59,897,0.06577480490523968
114,ESCUELA PLACIDO VILLARROEL,1101,39,577,0.06759098786828423
116,COLEGIO REPUBLICA DE CROACIA,1101,52,672,0.07738095238095238
117,ESCUELA PAULA JARAQUEMADA ALQUIZAR,1101,41,684,0.059941520467836254
119,ESCUELA CENTENARIO,1101,36,589,0.06112054329371817
122,ESCUELA THILDA PORTILLO OLIVARES,1101,29,347,0.08357348703170028
123,COLEGIO ESPANA,1101,30,435,0.06896551724137931
124,LICEO LUIS CRUZ MARTINEZ,1101,69,1201,0.05745212323064113
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,1101,71,1151,0.06168549087749783
126,COLEGIO REPUBLICA DE ITALIA,1101,50,616,0.08116883116883117
127,LICEO MARIA AUXILIADORA,1101,49,912,0.0537280701754386
129,LICEO SUPERIOR GABRIELA MISTRAL,1101,22,265,0.0830188679245283
130,COLEGIO NORTH COLLEGE,1101,26,383,0.06788511749347259
131,COLEGIO ESCASCE,1101,23,359,0.06406685236768803
132,COLEGIO BAJO MOLLE,1101,66,1906,0.03462749213011543
133,COLEGIO ADVENTISTA DE IQUIQUE,1101,44,757,0.05812417437252312
134,LICEO ATENEA,1101,29,342,0.0847953216374269
144,COLEGIO IQUIQUE YOUNG SCHOOL,1101,19,369,0.051490514905149054
154,ESCUELA BASICA FRONTERIZA,1404,12,49,0.24489795918367346
156,ESCUELA PISAGUA,1404,8,33,0.24242424242424243
158,ESCUELA CHIAPA,1404,3,5,0.6
159,ESCUELA JAINA,1404,3,4,0.75
